experiment,run_id,task_id,seed,rtk_on,factor_key,factor_b_on,factor_b_value,compaction_trigger,pt,gt,success,turns,n_tool_calls,ran_tests,compaction_activated,total_compaction_gt,rtk_supported_calls,rtk_fallback_calls,rtk_fidelity,total_tool_output_tokens,traj_signature,deg_zero_tools,deg_turn1,deg_no_tests,deg_dup_in_cell,degenerate
e1b_rtk_cod,e1b_rtk_cod-repo_task_002-seed52-rtk0-off-cod,repo_task_002,52,0,reasoning,1,cod,,89061.0,3240.0,False,30,30,True,False,0,0,0,0.0,2772,805d1fc7f1f00743,False,False,False,False,False
e1b_rtk_cod,e1b_rtk_cod-repo_task_002-seed52-rtk0-off-standard,repo_task_002,52,0,reasoning,0,standard,,3066.0,465.0,False,6,5,True,False,0,0,0,0.0,197,11aadfe8707f6b0e,False,False,False,False,False
e1b_rtk_cod,e1b_rtk_cod-repo_task_002-seed52-rtk1-off-cod,repo_task_002,52,1,reasoning,1,cod,,84947.0,1183.0,False,30,30,True,False,0,1,29,-0.9333,2244,2020522d8e87cb76,False,False,False,False,False
e1b_rtk_cod,e1b_rtk_cod-repo_task_002-seed52-rtk1-off-standard,repo_task_002,52,1,reasoning,0,standard,,2729.0,356.0,False,6,5,True,False,0,3,2,0.2,122,5ee8b2e078afa7fb,False,False,False,False,False
e1b_rtk_cod,e1b_rtk_cod-repo_task_002-seed99-rtk0-off-cod,repo_task_002,99,0,reasoning,1,cod,,204.0,11.0,True,2,1,False,False,0,0,0,0.0,47,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_002-seed99-rtk0-off-standard,repo_task_002,99,0,reasoning,0,standard,,98.0,11.0,True,2,1,False,False,0,0,0,0.0,47,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_002-seed99-rtk1-off-cod,repo_task_002,99,1,reasoning,1,cod,,163.0,11.0,True,2,1,False,False,0,1,0,1.0,6,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_002-seed99-rtk1-off-standard,repo_task_002,99,1,reasoning,0,standard,,57.0,11.0,True,2,1,False,False,0,1,0,1.0,6,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_003-seed07-rtk0-off-cod,repo_task_003,7,0,reasoning,1,cod,,204.0,11.0,True,2,1,False,False,0,0,0,0.0,47,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_003-seed07-rtk0-off-standard,repo_task_003,7,0,reasoning,0,standard,,98.0,11.0,True,2,1,False,False,0,0,0,0.0,47,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_003-seed07-rtk1-off-cod,repo_task_003,7,1,reasoning,1,cod,,163.0,11.0,True,2,1,False,False,0,1,0,1.0,6,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_003-seed07-rtk1-off-standard,repo_task_003,7,1,reasoning,0,standard,,57.0,11.0,True,2,1,False,False,0,1,0,1.0,6,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_003-seed13-rtk0-off-cod,repo_task_003,13,0,reasoning,1,cod,,204.0,11.0,True,2,1,False,False,0,0,0,0.0,47,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_003-seed13-rtk0-off-standard,repo_task_003,13,0,reasoning,0,standard,,98.0,11.0,True,2,1,False,False,0,0,0,0.0,47,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_003-seed13-rtk1-off-cod,repo_task_003,13,1,reasoning,1,cod,,163.0,11.0,True,2,1,False,False,0,1,0,1.0,6,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_003-seed13-rtk1-off-standard,repo_task_003,13,1,reasoning,0,standard,,57.0,11.0,True,2,1,False,False,0,1,0,1.0,6,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_003-seed17-rtk0-off-cod,repo_task_003,17,0,reasoning,1,cod,,374.0,117.0,False,2,1,True,False,0,0,0,0.0,84,864e6bb3d7953bd2,False,False,False,False,False
e1b_rtk_cod,e1b_rtk_cod-repo_task_003-seed17-rtk0-off-standard,repo_task_003,17,0,reasoning,0,standard,,20220.0,1218.0,False,15,14,True,False,0,0,0,0.0,915,ba2b757344cce57d,False,False,False,False,False
e1b_rtk_cod,e1b_rtk_cod-repo_task_003-seed17-rtk1-off-cod,repo_task_003,17,1,reasoning,1,cod,,341.0,146.0,False,2,1,True,False,0,1,0,1.0,51,864e6bb3d7953bd2,False,False,False,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_003-seed17-rtk1-off-standard,repo_task_003,17,1,reasoning,0,standard,,3739.0,463.0,True,7,6,True,False,0,2,4,-0.3333,159,1caf226f1d6bdb16,False,False,False,False,False
e1b_rtk_cod,e1b_rtk_cod-repo_task_003-seed42-rtk0-off-cod,repo_task_003,42,0,reasoning,1,cod,,204.0,11.0,True,2,1,False,False,0,0,0,0.0,47,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_003-seed42-rtk0-off-standard,repo_task_003,42,0,reasoning,0,standard,,98.0,11.0,True,2,1,False,False,0,0,0,0.0,47,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_003-seed42-rtk1-off-cod,repo_task_003,42,1,reasoning,1,cod,,163.0,11.0,True,2,1,False,False,0,1,0,1.0,6,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_003-seed42-rtk1-off-standard,repo_task_003,42,1,reasoning,0,standard,,57.0,11.0,True,2,1,False,False,0,1,0,1.0,6,7e4836520e065111,False,False,True,True,True
e1b_rtk_cod,e1b_rtk_cod-repo_task_003-seed52-rtk0-off-cod,repo_task_003,52,0,reasoning,1,cod,,126862.0,2212.0,False,30,30,True,False,0,0,0,0.0,7159,1154d2ddf3b9f6ea,False,False,False,False,False
e1b_rtk_cod,e1b_rtk_cod-repo_task_003-seed52-rtk0-off-standard,repo_task_003,52,0,reasoning,0,standard,,6765.0,666.0,True,9,8,True,False,0,0,0,0.0,453,1948114444d047f4,False,False,False,False,False
e1b_rtk_cod,e1b_rtk_cod-repo_task_003-seed52-rtk1-off-cod,repo_task_003,52,1,reasoning,1,cod,,343.0,149.0,False,2,1,True,False,0,1,0,1.0,51,864e6bb3d7953bd2,False,False,False,True,True
