run_id,task_id,seed,rtk,factor_key,factor_b,rtk_on,factor_b_on,pt,gt,success,interaction_on
e1b_rtk_cod-repo_task_004-seed17-rtk1-off-standard,repo_task_004,17,on,reasoning,standard,1,0,56205.0,2799.0,False,0
e1b_rtk_cod-repo_task_004-seed42-rtk0-off-cod,repo_task_004,42,off,reasoning,cod,0,1,204.0,11.0,True,0
e1b_rtk_cod-repo_task_004-seed42-rtk0-off-standard,repo_task_004,42,off,reasoning,standard,0,0,98.0,11.0,True,0
e1b_rtk_cod-repo_task_004-seed42-rtk1-off-cod,repo_task_004,42,on,reasoning,cod,1,1,163.0,11.0,True,1
e1b_rtk_cod-repo_task_004-seed42-rtk1-off-standard,repo_task_004,42,on,reasoning,standard,1,0,57.0,11.0,True,0
e1b_rtk_cod-repo_task_004-seed52-rtk0-off-cod,repo_task_004,52,off,reasoning,cod,0,1,506.0,225.0,False,0
e1b_rtk_cod-repo_task_004-seed52-rtk0-off-standard,repo_task_004,52,off,reasoning,standard,0,0,5812.0,596.0,True,0
e1b_rtk_cod-repo_task_004-seed52-rtk1-off-cod,repo_task_004,52,on,reasoning,cod,1,1,6875.0,1339.0,True,1
e1b_rtk_cod-repo_task_004-seed52-rtk1-off-standard,repo_task_004,52,on,reasoning,standard,1,0,11336.0,916.0,True,0
e1b_rtk_cod-repo_task_004-seed99-rtk0-off-cod,repo_task_004,99,off,reasoning,cod,0,1,204.0,11.0,True,0
e1b_rtk_cod-repo_task_004-seed99-rtk0-off-standard,repo_task_004,99,off,reasoning,standard,0,0,98.0,11.0,True,0
e1b_rtk_cod-repo_task_004-seed99-rtk1-off-cod,repo_task_004,99,on,reasoning,cod,1,1,163.0,11.0,True,1
e1b_rtk_cod-repo_task_004-seed99-rtk1-off-standard,repo_task_004,99,on,reasoning,standard,1,0,57.0,11.0,True,0
e1b_rtk_cod-repo_task_005-seed07-rtk0-off-cod,repo_task_005,7,off,reasoning,cod,0,1,204.0,11.0,True,0
e1b_rtk_cod-repo_task_005-seed07-rtk0-off-standard,repo_task_005,7,off,reasoning,standard,0,0,98.0,11.0,True,0
e1b_rtk_cod-repo_task_005-seed07-rtk1-off-cod,repo_task_005,7,on,reasoning,cod,1,1,163.0,11.0,True,1
e1b_rtk_cod-repo_task_005-seed07-rtk1-off-standard,repo_task_005,7,on,reasoning,standard,1,0,57.0,11.0,True,0
e1b_rtk_cod-repo_task_005-seed13-rtk0-off-cod,repo_task_005,13,off,reasoning,cod,0,1,204.0,11.0,True,0
e1b_rtk_cod-repo_task_005-seed13-rtk0-off-standard,repo_task_005,13,off,reasoning,standard,0,0,98.0,11.0,True,0
e1b_rtk_cod-repo_task_005-seed13-rtk1-off-cod,repo_task_005,13,on,reasoning,cod,1,1,163.0,11.0,True,1
e1b_rtk_cod-repo_task_005-seed13-rtk1-off-standard,repo_task_005,13,on,reasoning,standard,1,0,57.0,11.0,True,0
e1b_rtk_cod-repo_task_005-seed17-rtk0-off-cod,repo_task_005,17,off,reasoning,cod,0,1,126.0,25.0,False,0
e1b_rtk_cod-repo_task_005-seed17-rtk0-off-standard,repo_task_005,17,off,reasoning,standard,0,0,3266.0,574.0,True,0
e1b_rtk_cod-repo_task_005-seed17-rtk1-off-cod,repo_task_005,17,on,reasoning,cod,1,1,126.0,44.0,False,1
e1b_rtk_cod-repo_task_005-seed17-rtk1-off-standard,repo_task_005,17,on,reasoning,standard,1,0,1948.0,300.0,True,0
e1b_rtk_cod-repo_task_005-seed42-rtk0-off-cod,repo_task_005,42,off,reasoning,cod,0,1,204.0,11.0,True,0
e1b_rtk_cod-repo_task_005-seed42-rtk0-off-standard,repo_task_005,42,off,reasoning,standard,0,0,98.0,11.0,True,0
e1b_rtk_cod-repo_task_005-seed42-rtk1-off-cod,repo_task_005,42,on,reasoning,cod,1,1,163.0,11.0,True,1
e1b_rtk_cod-repo_task_005-seed42-rtk1-off-standard,repo_task_005,42,on,reasoning,standard,1,0,57.0,11.0,True,0
e1b_rtk_cod-repo_task_005-seed52-rtk0-off-cod,repo_task_005,52,off,reasoning,cod,0,1,126.0,35.0,False,0
e1b_rtk_cod-repo_task_005-seed52-rtk0-off-standard,repo_task_005,52,off,reasoning,standard,0,0,5759.0,541.0,True,0
e1b_rtk_cod-repo_task_005-seed52-rtk1-off-cod,repo_task_005,52,on,reasoning,cod,1,1,371.0,156.0,False,1
e1b_rtk_cod-repo_task_005-seed52-rtk1-off-standard,repo_task_005,52,on,reasoning,standard,1,0,6601.0,764.0,True,0
e1b_rtk_cod-repo_task_005-seed99-rtk0-off-cod,repo_task_005,99,off,reasoning,cod,0,1,204.0,11.0,True,0
e1b_rtk_cod-repo_task_005-seed99-rtk0-off-standard,repo_task_005,99,off,reasoning,standard,0,0,98.0,11.0,True,0
e1b_rtk_cod-repo_task_005-seed99-rtk1-off-cod,repo_task_005,99,on,reasoning,cod,1,1,163.0,11.0,True,1
e1b_rtk_cod-repo_task_005-seed99-rtk1-off-standard,repo_task_005,99,on,reasoning,standard,1,0,57.0,11.0,True,0
e1b_rtk_cod-repo_task_006-seed07-rtk0-off-cod,repo_task_006,7,off,reasoning,cod,0,1,204.0,11.0,True,0
e1b_rtk_cod-repo_task_006-seed07-rtk0-off-standard,repo_task_006,7,off,reasoning,standard,0,0,98.0,11.0,True,0
e1b_rtk_cod-repo_task_006-seed07-rtk1-off-cod,repo_task_006,7,on,reasoning,cod,1,1,163.0,11.0,True,1
e1b_rtk_cod-repo_task_006-seed07-rtk1-off-standard,repo_task_006,7,on,reasoning,standard,1,0,57.0,11.0,True,0
e1b_rtk_cod-repo_task_006-seed13-rtk0-off-cod,repo_task_006,13,off,reasoning,cod,0,1,204.0,11.0,True,0
e1b_rtk_cod-repo_task_006-seed13-rtk0-off-standard,repo_task_006,13,off,reasoning,standard,0,0,98.0,11.0,True,0
e1b_rtk_cod-repo_task_006-seed13-rtk1-off-cod,repo_task_006,13,on,reasoning,cod,1,1,163.0,11.0,True,1
e1b_rtk_cod-repo_task_006-seed13-rtk1-off-standard,repo_task_006,13,on,reasoning,standard,1,0,57.0,11.0,True,0
e1b_rtk_cod-repo_task_006-seed17-rtk0-off-cod,repo_task_006,17,off,reasoning,cod,0,1,232331.0,5038.0,False,0
e1b_rtk_cod-repo_task_006-seed17-rtk0-off-standard,repo_task_006,17,off,reasoning,standard,0,0,118245.0,4675.0,False,0
e1b_rtk_cod-repo_task_006-seed17-rtk1-off-cod,repo_task_006,17,on,reasoning,cod,1,1,1378.0,463.0,False,1
e1b_rtk_cod-repo_task_006-seed17-rtk1-off-standard,repo_task_006,17,on,reasoning,standard,1,0,5789.0,506.0,False,0
e1b_rtk_cod-repo_task_006-seed42-rtk0-off-cod,repo_task_006,42,off,reasoning,cod,0,1,204.0,11.0,True,0
e1b_rtk_cod-repo_task_006-seed42-rtk0-off-standard,repo_task_006,42,off,reasoning,standard,0,0,98.0,11.0,True,0
e1b_rtk_cod-repo_task_006-seed42-rtk1-off-cod,repo_task_006,42,on,reasoning,cod,1,1,163.0,11.0,True,1
e1b_rtk_cod-repo_task_006-seed42-rtk1-off-standard,repo_task_006,42,on,reasoning,standard,1,0,57.0,11.0,True,0
e1b_rtk_cod-repo_task_006-seed52-rtk0-off-cod,repo_task_006,52,off,reasoning,cod,0,1,3691.0,475.0,True,0
e1b_rtk_cod-repo_task_006-seed52-rtk0-off-standard,repo_task_006,52,off,reasoning,standard,0,0,27815.0,1340.0,True,0
e1b_rtk_cod-repo_task_006-seed52-rtk1-off-cod,repo_task_006,52,on,reasoning,cod,1,1,73344.0,1637.0,False,1
e1b_rtk_cod-repo_task_006-seed52-rtk1-off-standard,repo_task_006,52,on,reasoning,standard,1,0,5731.0,726.0,False,0
e1b_rtk_cod-repo_task_006-seed99-rtk0-off-cod,repo_task_006,99,off,reasoning,cod,0,1,204.0,11.0,True,0
e1b_rtk_cod-repo_task_006-seed99-rtk0-off-standard,repo_task_006,99,off,reasoning,standard,0,0,98.0,11.0,True,0
e1b_rtk_cod-repo_task_006-seed99-rtk1-off-cod,repo_task_006,99,on,reasoning,cod,1,1,163.0,11.0,True,1
e1b_rtk_cod-repo_task_006-seed99-rtk1-off-standard,repo_task_006,99,on,reasoning,standard,1,0,57.0,11.0,True,0
